GeneName	SW480_T0_Rep1_TPM	SW480_T0_Rep2_TPM	SW480_T24_Rep1_TPM	SW480_T24_Rep2_TPM	SW480_T48_Rep1_TPM	SW480_T48_Rep2_TPM	SW480_T72_Rep1_TPM	SW480_T72_Rep2_TPM
ACMSD	0.08	0.17	0.08	0.21	0.12	0.18	0.13	0.18
ACO1	9.18	8.94	7.28	7.67	8.56	8.48	8.64	6.62
ACO2	40.82	41.1	41.88	38.63	47.05	46.77	47.15	36.34
ACOD1	0	0	0	0	0	0	0	0
ACOT1	2.53	3.04	1.99	2.5	2.41	2.08	1.9	1.45
ACOT11	5.5	5.49	6.35	7.08	6.91	7.37	6.52	5.39
ACOT12	0	0.02	0.02	0	0	0	0.02	0.03
ACOT13	27.2	27.69	30.4	31.17	31.43	35	32.03	26.69
ACOT2	11.98	12.51	11.81	11.68	11.87	12.96	10.34	6.34
ACOT4	3.28	3.05	2.78	2.98	3.12	3.17	2.47	1.56
ACOT6	0.12	0	0.12	0.04	0.08	0	0	0
ACOT7	30.63	33.34	25.28	24.65	31.15	31.38	29.88	23.42
ACOT8	21.85	22.11	23.73	22	22.01	24.35	18.14	13.63
ACOT9	43.53	45.69	39.02	40.43	39.11	40.17	32.84	26.67
ACOX1	18.17	19.44	18.66	16.7	22.34	23.41	23.41	17.28
ACOX2	0.73	0.44	0.72	0.66	1.57	1.46	1.62	1.38
ACOX3	3.72	3.29	3.04	3.19	4.51	4.35	4.94	2.76
ACOXL	1.39	1.42	1.3	1.56	1.73	1.79	1.25	1.15
ACP1	146.64	157.39	144.3	149.11	147.35	148.39	118.51	86.91
ACP2	18.55	17.07	16.05	16.05	18.46	20.43	22.78	17.18
ACP5	1.47	1.53	1.7	1.63	2.63	2.8	2.72	1.51
ACP6	29.01	26.71	26.48	27.19	28.12	31.95	24.48	20.33
ACP7	0.41	0.62	0.49	0.56	0.62	0.72	0.33	0.22
ACR	0	0	0.14	0.1	0.52	0	0.17	0.04
ACRBP	2.41	1	1.17	0.99	0.98	1.51	1.8	1.76
ACRV1	0.29	0.24	0.31	0.21	0.16	0.58	0.07	0.03
ACSBG1	0.42	0.54	0.48	0.36	0.79	0.56	0.52	0.66
ACSBG2	0.34	0.17	0	0.36	0.08	0.09	0.09	0.1
ACSF2	7.88	7.14	7.46	6.63	7.92	7.33	10.78	7.7
ACSF3	16.19	15.88	14.92	13.08	14.05	13.11	12.05	6.78
ACSL1	10.22	13.46	10.75	11.63	14.64	14.77	16.15	11.79
ACSL3	37.64	38.77	35.82	34.87	42.11	40.72	40.59	32.19
ACSL4	17.13	20.52	17.17	18.92	18.63	18.41	17.48	13.84
ACSL5	3.77	4.01	4.32	4.26	16.24	19.24	24.18	18.91
ACSL6	0.13	0.14	0.11	0.14	0.03	0.34	0.11	0.04
ACSM1	0.07	0	0	0.04	0	0	0	0
ACSM2A	0	0.11	0	0.04	0.04	0	0.04	0
ACSM2B	0	0	0	0.01	0.04	0.13	0.04	0.02
ACSM3	0.35	0.56	0.4	0.67	1.8	0.58	0.36	1.06
ACSM4	0.02	0.02	0.02	0.01	0.07	0	0	0
ACSM5	0	0.07	0	0	0	0	0.08	0
ACSM6	0	0	0	0	0	0	0	0
ACSS1	0.42	0.41	0.22	0.34	0.33	0.23	0.45	0.26
ACSS2	39.45	38.49	42.83	40.88	51.21	49.7	52.36	37.14
ACSS3	0.19	0.26	0.12	0.2	0.36	0.49	0.53	0.52
ACTA1	0.14	0.4	0.32	0.18	0.1	0.22	0.18	0.06
ACTA2	1.52	0.63	1.07	0.95	1.22	1.49	1.59	1.68
ACTB	1659.11	1613.64	1345.56	1300.1	1794.23	1807.29	1693.21	1423.59
ACTBL2	0.26	0.2	0.23	0.12	0.5	0.56	1.12	0.76
ACTC1	0	0	0	0	0.01	0.03	0	0
ACTG1	1530.17	1498.7	1336.2	1229.38	1815.06	1808.36	1929.5	1561.36
ACTG2	0.04	0	0.17	0.04	0.1	0.13	0.11	0.17
ACTL10	5.22	5.22	4.8	4.69	4.18	3.68	2.94	2.54
ACTL6A	61.85	62.47	62.28	64.97	61.62	61.26	52.32	40.59
ACTL6B	0.06	0	0	0	0.06	0.07	0	0
ACTL7A	0	0	0.06	0.04	0	0	0	0.08
ACTL7B	0	0	0.02	0	0	0.02	0.06	0
ACTL8	0.06	0.13	0.12	0.1	0.03	0.16	0.15	0.04
ACTL9	0	0	0	0	0	0	0	0.05
ACTN1	83.28	82.02	71.14	64.91	84.37	84.26	83.66	68.9
ACTN2	0.03	0.06	0.13	0.07	0.2	0.08	0.03	0
ACTN3	0.02	0	0.03	0.02	0.05	0.02	0	0.02
ACTN4	617.49	606.74	478.31	436.38	548.75	548.16	524.05	415.83
ACTR10	20.32	22.44	18.28	21.18	20.54	25.26	16.69	13.37
ACTR1A	45.34	45.55	38.93	41.23	49.39	47.28	48.59	31.8
ACTR1B	39.59	41.11	37.94	39.46	35.79	36.35	32.32	21.94
ACTR2	92.72	99.49	85.34	85.81	98.01	93.79	77.54	64.09
ACTR3	142.1	133.98	132.92	125.25	158.81	152.01	148.97	108.84
ACTR3B	8.87	9.75	8.23	7.98	8.18	8.7	7.06	5.58
ACTR3C	4.09	3.66	3.31	3.19	3.52	5.78	3.83	2.04
ACTR5	14.67	15.44	14.32	14.06	13.29	13.43	12.85	9.54
ACTR6	21.01	21.51	17.62	20.32	21.77	19.87	23.07	15.48
ACTR8	17.8	14.95	16.93	16.02	19.1	19.78	17.71	14.32
ACTRT1	0	0	0.03	0	0	0	0	0
ACTRT2	0	0	0	0.02	0	0	0.04	0
ACTRT3	1.2	1.04	1.22	1.15	1.3	1.66	1.69	1.28
ACVR1	1.67	1.5	1.36	1.41	1.9	2.08	1.6	1.81
ACVR1B	9.14	9.24	8.54	7.44	8.68	9.79	11.88	8.58
ACVR1C	0.14	0.29	0.37	0.2	0.59	0.6	0.95	0.41
ACVR2A	3.48	4.45	3.72	3.74	4.82	4.88	6.1	3.81
ACVR2B	9.56	9.09	6.6	6.3	7.16	8.4	7.89	5.9
ACVRL1	0.21	0.05	0.27	0.15	0.16	0.16	0.18	0.03
ACY1	48.64	45.01	49.2	45.11	49.45	55.12	45.35	42.22
ACY3	0.55	0.4	0.42	0.55	0.83	0.65	1.64	0.92
ACYP1	17.17	16.79	15.06	15.3	19.2	17.92	26.09	17.65
ACYP2	8.17	7.35	8.05	7.99	9.9	9.22	8.19	5.89
ADA	9.36	10.54	10.23	9.76	11.54	12.68	20.02	15.71
ADAD1	0	0	0	0	0	0	0	0
ADAD2	0	0	0.02	0.07	0.32	0.07	0	0
ADAL	7.41	6.67	6.67	6.4	5.68	6.32	7.71	4.46
ADAM10	39.44	35.17	31.13	31.83	42.9	42.73	57.57	40.39
ADAM11	0.45	0.32	0.28	0.21	0.37	0.33	0.46	0.33
ADAM12	0.31	0.02	0.01	0.02	0.05	0.1	0.11	0.22
ADAM15	44.09	44.53	49.95	43.38	34.97	40.58	28.54	22.45
ADAM17	19.61	20.79	19.97	19.5	21.22	20.33	19.11	15.04
ADAM18	0	0.12	0.08	0.02	0	0	0	0.14
ADAM19	3.7	3.28	3.05	2.96	5.74	6.29	9.17	8.61
ADAM2	0	0	0	0	0	0	0	0
ADAM20	0.03	0.05	0.05	0.05	0.02	0.06	0.09	0.06
ADAM21	0.12	0.09	0.19	0.13	0.32	0.11	0.22	0.13
ADAM22	13.44	12.26	11.95	12.54	14.84	13.35	15.9	12.5
ADAM23	0.59	0.6	0.68	0.65	0.87	0.6	0.62	0.98
ADAM28	0	0	0.01	0.08	0.12	0.09	0.16	0.21
ADAM29	0	0	0	0	0.16	0	0.12	0.04
ADAM30	0	0	0	0	0	0	0	0
ADAM32	3.74	4.49	4.8	5.72	3.42	4.56	3.95	3.19
ADAM33	0.11	0.05	0.06	0.08	0.13	0.06	0.04	0.03
ADAM7	0	0	0	0	0	0	0	0.02
ADAM8	2.61	2.79	2.73	2.05	1.97	1.9	1.56	0.94
ADAM9	25.04	23.45	24.56	25.57	31.21	31.71	36.09	26.78
ADAMDEC1	0	0	0	0	0	0	0	0.03
ADAMTS1	0.01	0.01	0.01	0.03	0.04	0.05	0.03	0.27
ADAMTS10	0.09	0.06	0.15	0.22	0.52	0.44	0.78	0.34
ADAMTS12	0.03	0.03	0.05	0.01	0.04	0.02	0.16	0.07
ADAMTS13	1.56	1.77	1.31	1.13	1.2	1.72	1.47	1.84
ADAMTS14	0.79	0.87	0.83	0.88	0.7	0.48	0.44	0.42
ADAMTS15	0.32	0.35	0.48	0.42	0.63	0.86	0.91	0.72
ADAMTS16	0.06	0.02	0.05	0.04	0.02	0.02	0.05	0.13
ADAMTS17	5.64	4.56	3.52	2.57	3.59	4.14	3.99	2.94
ADAMTS18	0.02	0.01	0.01	0	0.01	0.01	0.11	0.06
ADAMTS19	11.37	9.95	9.33	9.63	12.31	13.3	21.5	15.34
ADAMTS2	0.23	0.07	0.06	0.08	0.01	0.1	0	0.03
ADAMTS20	0	0	0	0	0	0.02	0.04	0.01
ADAMTS3	0.01	0	0	0.01	0.01	0.01	0.01	0
ADAMTS4	0.01	0.03	0.23	0.03	0.25	0.03	0.03	0.06
ADAMTS5	0	0	0	0	0.01	0.02	0.01	0
ADAMTS6	0.73	0.77	0.99	0.89	0.74	1.23	0.78	0.77
ADAMTS7	0.16	0.12	0.09	0.08	0.19	0.19	0.28	0.23
ADAMTS8	0.24	0.25	0.31	0.21	0.38	0.45	0.47	0.19
ADAMTS9	0	0.02	0.04	0.07	0.2	0.15	0.27	0.14
ADAMTSL1	0.06	0.3	0.08	0.03	0.18	0.07	0.17	0.08
ADAMTSL2	28.74	28.24	28.02	26.25	27.91	28.12	16.45	12.4
ADAMTSL3	0.01	0.01	0.02	0.02	0.02	0.04	0.02	0.01
ADAMTSL4	0.25	0.16	0.22	0.16	0.2	0.31	0.28	0.21
ADAMTSL5	3.25	2.33	3.04	2.07	2.95	5.38	1.87	1.26
ADAP1	209.16	198.17	219.76	206.09	202.31	201.75	126.27	89.86
ADAP2	0.15	0.34	0.09	0.11	0.02	0.26	0.12	0.11
ADAR	41.68	42.76	38.07	37.09	37.83	41.8	35.25	29.13
ADARB1	4.54	3.88	6.1	3.95	4	6.53	4.41	3.2
ADARB2	0.07	0.02	0.03	0.05	0.29	0.11	0.08	0.1
ADAT1	21.19	20.35	20.38	17.64	18.23	20.24	15.83	15.4
ADAT2	8.21	9.17	7	7.24	5.98	6.82	7.94	6.91
ADAT3	0.62	0.62	0.49	0.53	0.45	0.54	0.63	0.51
ADCK1	3.9	4.27	4.37	4.54	3.85	3.37	4.09	3.66
ADCK2	10.23	10.12	9.03	8.47	8.68	8.63	5.49	3.71
ADCK5	4.46	5.12	4.54	4.96	4.68	3.84	4.91	4.49
ADCY1	0.04	0.06	0.06	0.04	0.08	0.09	0.07	0.14
ADCY10	0.01	0.02	0.16	0.02	0.09	0.1	0.04	0.08
ADCY2	0	0	0	0.02	0.02	0.04	0.04	0.01
ADCY3	55.85	54.88	46.44	46.91	55.13	45.05	39.69	32.81
ADCY4	0.77	0.59	1.28	0.62	1.01	0.61	0.71	0.36
ADCY5	0.01	0.02	0.12	0.06	0.02	0.03	0.01	0
ADCY6	10.54	10.08	11.19	9.73	11.42	9.37	9.92	7.51
ADCY7	1.2	1.24	1.71	1.34	1.11	1.13	1.05	0.65
ADCY8	0	0	0.01	0	0	0.05	0.01	0.01
ADCY9	2.75	2.26	2.28	1.7	2.57	1.84	1.68	2.15
ADCYAP1	0	0	0	0	0	0	0.06	0
ADCYAP1R1	0	0	0	0	0.03	0.02	0.01	0
ADD1	30.32	32.83	34.14	30.11	37.25	35.85	35.59	29.37
ADD2	0.15	0.02	0.17	0.02	0.07	0.2	0.17	0.02
ADD3	35.17	40.32	42.86	37.53	50.62	48.14	64.1	49.17
ADGB	0	0	0.01	0	0	0	0.01	0.01
ADGRA1	0	0	0	0	0.01	0	0	0
ADGRA2	1.13	0.97	0.97	1.06	0.55	0.74	0.43	0.26
ADGRA3	13.92	13.63	11.33	11.27	13.88	15.18	17.45	13.02
ADGRB1	4.33	4.42	3.11	2.31	2.6	2.31	1.63	1.61
ADGRB2	2.55	2.88	2.36	2.47	2.25	1.87	1.87	2.63
ADGRB3	0.13	0.23	0.1	0.11	0.37	0.19	0.32	0.18
ADGRD1	1.01	0.91	1.99	0.68	1.85	1.37	2.22	1.04
ADGRD2	1.03	1.28	0.51	0.77	0.22	0.14	0.37	0.04
ADGRE1	0	0	0	0.02	0	0.02	0	0.02
ADGRE2	8.99	10.33	7.96	7.82	8.05	8.62	10.73	9.26
ADGRE3	0	0	0	0	0	0	0	0
ADGRE5	34.46	33.86	29.36	28.11	30.69	32.05	38.82	33.11
ADGRF1	0.12	0.14	0.08	0.03	0.15	0.31	0.56	0.89
ADGRF2	0	0	0.02	0.04	0.02	0	0	0
ADGRF3	0.22	0.23	0.15	0.22	0.45	0.27	0.13	0.29
ADGRF4	0	0	0.01	0	0.03	0.04	0	0
ADGRF5	0.12	0.11	0.03	0.01	0.16	0.1	0.3	0.41
ADGRG1	139.52	138.58	132.06	117.8	122.72	118.02	93.4	81.91
ADGRG2	0.07	0.09	0.04	0.09	0.11	0.13	0.11	0.1
ADGRG3	0.17	0	0.07	0.03	0.09	0.04	0.09	0.03
ADGRG4	0	0	0	0	0.01	0	0	0
ADGRG5	1.98	2.5	1.31	1.38	1.26	1.42	1.59	0.95
ADGRG6	4.47	5.43	4.3	3.41	3.88	4.77	6.57	5.82
ADGRG7	0	0.02	0	0	0	0.04	0.03	0
ADGRL1	23.38	23.01	23.76	19.31	16.63	16.83	12.75	10.96
ADGRL2	14.66	15.04	13.09	13.8	21.38	20.83	24.85	17.94
ADGRL3	0.26	0.31	0.2	0.28	0.72	0.48	1.13	0.87
ADGRL4	0.04	0	0	0.08	0	0.02	0.04	0.15
ADGRV1	2.14	2.18	1.67	2.08	2.48	2.61	2.9	1.36
ADH1A	0	0	0	0	0	0	0	0.04
ADH1B	0	0	0.02	0	0.01	0.02	0.01	0
ADH1C	0.23	0.21	0.1	0.09	0.54	0.37	0.23	0.21
ADH4	0	0	0	0	0	0	0	0
ADH5	48.65	49.65	46.6	47.79	55.03	54.5	43.9	32.9
ADH6	0	0	0.07	0.06	0.11	0.12	0.02	0
ADH7	0	0	0	0	0	0	0	0
ADHFE1	0.45	0.85	0.54	0.72	0.54	0.55	0.94	0.53
ADI1	34.09	34.12	32.61	31.79	36.13	38.1	22.99	15.92
ADIG	0.16	0.16	0	0	0	0	0.12	0
ADIPOQ	0	0	0	0	0	0.02	0	0
ADIPOR1	41.94	41.53	41.68	38.84	48.03	50.29	61.57	45.76
ADIPOR2	40.53	44.72	37	38.22	47.3	47.75	52.73	38.64
ADIRF	96.53	82.28	89.18	79.91	84.31	81.07	44.2	36.48
ADK	24.69	26.2	20.53	23.26	22.97	26.22	21.86	17.57
ADM	1.68	1.71	1.3	1.15	2.19	1.35	4.53	2.66
ADM2	5.24	4.79	4.59	4.29	3.43	3.48	2.17	1.74
ADM5	2.02	2.35	1.94	2.05	1.46	1.2	1.4	1.36
ADNP	29.56	29.95	29.2	23.74	24.19	25.54	24.3	23.16
ADNP2	12.95	14.64	11.23	10.98	13.73	13.74	14.22	8.9
ADO	15.2	15.37	13.96	14.49	14.47	14.8	11.65	8.69
ADORA1	1.98	1.53	1.22	1.41	1.74	1.96	2.08	2.16
ADORA2A	0.86	1.21	0.66	0.57	0.5	0.78	0.28	0.2
ADORA2B	2.92	4.06	2.64	2.18	2.42	2.78	0.87	0.67
ADORA3	0	0	0	0	0.05	0	0	0
ADPGK	29.2	33.32	29.41	31.48	30.55	25.17	26.12	17.1
ADPRH	0.73	1.12	1.08	1.12	1.12	1.08	0.59	0.69
ADPRHL1	1.46	2.9	3.07	2.01	2.7	2.75	2.77	2.26
ADPRM	2.99	4.01	4.23	4.27	3.56	4.24	2.98	2.43
ADRA1A	0.18	0.11	0.2	0.13	0.02	0	0.02	0.14
ADRA1B	0.2	0.14	0.18	0.16	0.18	0.23	0.03	0.03
ADRA1D	0.14	0.25	0.08	0.24	0.13	0.29	0.14	0.14
ADRA2A	0	0	0.02	0.03	0.05	0.09	0.01	0.11
ADRA2B	0.07	0.06	0.06	0.07	0.18	0.13	0.26	0.22
ADRA2C	47.07	43.81	42.73	38.66	40.32	41.92	32.77	27.75
ADRB1	0.02	0	0.01	0.03	0.09	0.06	0.05	0.1
ADRB2	0.06	0.01	0.04	0.04	0.1	0.02	0.06	0.08
ADRB3	0	0	0	0.04	0.06	0	0.03	0.08
ADRM1	104.33	101.57	95.93	88.97	92.73	94.84	74.1	57.14
